46,8809,"MRE","RHO","3/25/2022 14:49","8/7/2022 10:02",251,"Brainverse","Airbus A320",141,"Wallis Saiger"
45,2693,"RRS","ADI","5/13/2022 11:25","8/5/2022 09:05",503,"Zoozzy","Boeing 737",179,"Nollie Bouttell"
44,9274,"SAQ","WUD","9/7/2022 07:45","3/18/2022 00:29",670,"Devshare","Embraer E190",x66,"Ailsun Cod"
43,960,"HOD","DGA","1/11/2022 21:32","10/15/2022 19:49",196,"Fivespan","Airbus A320",220,"Hadley Grishanov"
42,3017,"NRG","RQO","8/12/2022 03:14","9/14/2022 12:36",289,"Voomm","Boeing 737",390,"Kathleen Moston"
41,5679,"WGN","ILK","8/29/2022 16:12","6/22/2022 18:21",x64,"Chatterbridge","Airbus A320",310,"Gloria Hyde-Chambers"
40,8248,"TNQ","KDI","4/15/2022 11:31","10/10/2022 07:03",258,"Fivespan","Embraer E190",470,"Ruthe Godridge"
39,4201,"ENE","ECN","10/8/2022 04:01","9/13/2022 12:37",696,"Trilith","Boeing 737",367,"Fletch Livock"
38,6586,"LSK","SRS","11/22/2022 03:29","10/24/2022 11:37",244,"Zava","Embraer E190",x42,"Delmer Schlag"
37,5102,"ORD","IRM","8/7/2022 21:09","3/15/2022 07:58",498,"Mynte","Boeing 737",156,"Anestassia Isakovic"
36,7772,"XYA","HOO","2/19/2022 03:25","12/9/2022 02:13",168,"Buzzdog","Airbus A320",448,"Stephenie Edgell"
35,7107,"NDB","HAW","4/26/2022 04:25","6/13/2022 10:54",408,"Mydo","Boeing 737",389,"Estevan Grinnov"
34,4032,"APR","CZW","10/24/2022 07:17","6/2/2022 01:14",422,"InnoZ","Embraer E190",344,"Modesty Giraudoux"
33,1991,"CGQ","YLK","4/20/2022 23:26","7/12/2022 20:26",346,"Zoomcast","Boeing 737",478,"Daniele Milton"
32,7639,"PIE","ALO","3/23/2022 08:22","6/23/2022 12:46",706,"Bubblemix","Boeing 737",471,"Des Le Breton"
31,2013,"TOM","TGH","3/8/2022 12:43","6/17/2022 01:57",554,"Mymm","Boeing 737",370,"Rik Wimmers"
30,148,"WON","IRJ","7/16/2022 12:46","9/2/2022 23:49",378,"Rhybox","Boeing 737",187,"Evyn Harhoff"
29,8381,"MYM","PUE","11/26/2022 08:25","7/23/2022 00:34",583,"Izio","Boeing 737",x66,"Arv Raven"
28,3901,"DOM","PPY","7/21/2022 23:51","2/27/2022 06:17",166,"Kayveo","Boeing 737",x81,"Geneva Le Breton"
27,2086,"KIN","SBF","9/28/2022 14:36","11/20/2022 09:49",230,"Wordtune","Airbus A320",353,"Colman Brogden"
26,2604,"KYZ","COR","7/19/2022 10:40","3/4/2022 15:40",237,"Voomm","Airbus A320",286,"Benni Poller"
25,9280,"PKX","MJF","12/13/2022 15:44","3/14/2022 09:22",235,"Gevee","Embraer E190",234,"Thomasin McAlroy"
24,3522,"OLD","IRK","6/27/2022 09:54","11/11/2022 14:59",x60,"Twitterworks","Boeing 737",x105,"Deane Garling"
23,7925,"RWI","YGK","5/2/2022 09:33","10/7/2022 10:13",599,"Fivespan","Airbus A320",x40,"Flinn Birdseye"
22,6748,"TCR","LEJ","12/15/2022 04:27","2/3/2022 17:15",564,"Eidel","Embraer E190",x87,"Mort Zimek"
21,5254,"PDO","APW","5/31/2022 17:38","6/29/2022 10:17",693,"Twimbo","Embraer E190",163,"Mic Bonifas"
20,5407,"NGF","GEF","11/12/2022 06:45","9/18/2022 12:30",x67,"Tagfeed","Airbus A320",427,"Emlynn Linger"
19,4506,"MPE","IXV","10/19/2022 11:47","1/15/2022 11:56",246,"Podcat","Embraer E190",184,"Conn Berntssen"
18,2285,"MJE","IXU","5/26/2022 18:30","3/20/2022 00:10",402,"Edgepulse","Boeing 737",x102,"Atlante Beltzner"
17,7825,"OVS","TIV","5/21/2022 05:08","2/26/2022 19:50",630,"Ooba","Boeing 737",258,"Shelley Talloe"
16,7832,"PBF","OKO","9/22/2022 17:02","10/16/2022 03:47",660,"Skyba","Boeing 737",320,"Loria Hellmer"
15,5858,"IXB","BOQ","12/22/2022 09:51","12/12/2022 01:22",x99,"Yabox","Airbus A320",481,"Sammy Rosengren"
14,8498,"IPH","GDT","4/18/2022 21:49","11/12/2022 00:49",427,"Flashspan","Airbus A320",271,"Sully Adamczewski"
13,1879,"HKA","ONR","11/28/2022 15:09","7/26/2022 23:07",372,"Gigashots","Airbus A320",x86,"Benedikta Nellies"
12,7198,"ENY","JOL","12/19/2022 08:02","12/25/2022 20:17",591,"Rhycero","Boeing 737",224,"Nettle Gennings"
11,4444,"UVA","ESU","8/6/2022 23:17","10/17/2022 04:01",459,"Skimia","Boeing 737",379,"Alanna Mallard"
10,532,"BNK","QJD","3/12/2022 14:17","6/2/2022 22:19",312,"Tekfly","Boeing 737",227,"Fred Sandall"
9,8355,"CUJ","RAE","5/10/2022 16:19","9/8/2022 13:03",376,"Shuffledrive","Boeing 737",308,"Carlotta Coch"
8,551,"AAE","RAN","11/9/2022 23:41","7/29/2022 03:54",500,"Fatz","Embraer E190",207,"Flossie Lowthian"
7,4645,"HKB","BRU","9/5/2022 02:29","6/28/2022 12:13",x46,"Skipstorm","Embraer E190",386,"Marcelle Blunkett"
6,5495,"CZY","OTM","5/9/2022 17:54","6/11/2022 21:48",x111,"Yadel","Airbus A320",200,"Bekki Allchorne"
